"period","nonrevolving","revolving","student"
1990-02-01,"582268.62","216504.57",NA
1990-03-01,"581158.72","217589.37",NA
1990-04-01,"578977.38","219769.62",NA
1990-05-01,"576474.84","223276.19",NA
1990-06-01,"577227.92","225664.82",NA
1990-07-01,"577301.24","229586.26",NA
1990-08-01,"576343.66","232414.91",NA
1990-09-01,"575711.19","234725.03",NA
1990-10-01,"576484.47","236170.64",NA
1990-11-01,"574368.55","239294.12",NA
1990-12-01,"569587.95","238642.62",NA
1991-01-01,"567885.66","238714.84",NA
1991-02-01,"564742.31","242288.12",NA
1991-03-01,"561511.07","246840.76",NA
1991-04-01,"559075.06","248743.89",NA
1991-05-01,"556901.14","250931.03",NA
1991-06-01,"553748.22","252246.44",NA
1991-07-01,"550307.30","253720.26",NA
1991-08-01,"546129.18","255892.74",NA
1991-09-01,"542077.11","258812.22",NA
1991-10-01,"537268.74","261348.24",NA
1991-11-01,"535497.70","262777.28",NA
1991-12-01,"534260.42","263768.55",NA
1992-01-01,"533596.22","265386.49",NA
1992-02-01,"533158.25","266482.13",NA
1992-03-01,"532686.41","266755.70",NA
1992-04-01,"529828.90","267829.23",NA
1992-05-01,"528916.10","268751.80",NA
1992-06-01,"526568.68","270707.63",NA
1992-07-01,"527250.56","270817.59",NA
1992-08-01,"527743.30","272080.50",NA
1992-09-01,"527021.95","273176.96",NA
1992-10-01,"524348.35","275207.64",NA
1992-11-01,"527238.23","275459.75",NA
1992-12-01,"527669.02","278449.67",NA
1993-01-01,"528330.62","280994.81",NA
1993-02-01,"530527.68","283531.25",NA
1993-03-01,"528765.89","284890.41",NA
1993-04-01,"532780.81","286976.13",NA
1993-05-01,"531288.42","288470.63",NA
1993-06-01,"533850.55","289961.25",NA
1993-07-01,"535286.72","294232.01",NA
1993-08-01,"537971.36","296264.17",NA
1993-09-01,"541155.00","299447.98",NA
1993-10-01,"545962.54","301654.09",NA
1993-11-01,"549959.41","306564.01",NA
1993-12-01,"555742.56","309908.02",NA
1994-01-01,"559500.15","312521.67",NA
1994-02-01,"564939.14","315413.72",NA
1994-03-01,"571555.79","319777.37",NA
1994-04-01,"575973.79","325015.74",NA
1994-05-01,"583766.07","329097.63",NA
1994-06-01,"589363.22","334852.80",NA
1994-07-01,"591189.26","339945.48",NA
1994-08-01,"597132.47","347670.70",NA
1994-09-01,"607291.69","350083.91",NA
1994-10-01,"615689.68","352779.03",NA
1994-11-01,"618833.39","362592.72",NA
1994-12-01,"631732.19","365569.56",NA
1995-01-01,"638391.87","372003.17",NA
1995-02-01,"640455.74","378103.38",NA
1995-03-01,"648072.17","385559.92",NA
1995-04-01,"653951.59","389743.58",NA
1995-05-01,"659306.86","398163.97",NA
1995-06-01,"663290.48","406087.43",NA
1995-07-01,"668595.71","409141.29",NA
1995-08-01,"672036.31","417565.74",NA
1995-09-01,"677580.53","429032.15",NA
1995-10-01,"680078.10","433450.42",NA
1995-11-01,"695420.01","436740.16",NA
1995-12-01,"696824.27","443920.09",NA
1996-01-01,"703275.62","449994.68",NA
1996-02-01,"707496.40","455597.38",NA
1996-03-01,"710092.31","461591.95",NA
1996-04-01,"715121.51","465781.59",NA
1996-05-01,"720453.90","470659.79",NA
1996-06-01,"726687.65","474262.36",NA
1996-07-01,"732630.35","479267.01",NA
1996-08-01,"737209.89","483293.11",NA
1996-09-01,"738986.95","486284.81",NA
1996-10-01,"740894.48","490441.62",NA
1996-11-01,"744910.43","497511.48",NA
1996-12-01,"745920.52","507516.57",NA
1997-01-01,"747895.02","510470.26",NA
1997-02-01,"750137.26","511713.55",NA
1997-03-01,"752190.25","511956.09",NA
1997-04-01,"762222.81","511864.57",NA
1997-05-01,"764197.31","514481.11",NA
1997-06-01,"767292.34","515566.18",NA
1997-07-01,"767885.68","520896.35",NA
1997-08-01,"769774.46","524444.78",NA
1997-09-01,"772912.57","528722.40",NA
1997-10-01,"777345.11","532044.28",NA
1997-11-01,"777649.38","534807.80",NA
1997-12-01,"784751.77","540005.56",NA
1998-01-01,"782101.57","537942.46",NA
1998-02-01,"785448.43","538894.29",NA
1998-03-01,"791455.93","541447.51",NA
1998-04-01,"799549.46","560906.83",NA
1998-05-01,"803246.74","559834.13",NA
1998-06-01,"812391.87","561550.45",NA
1998-07-01,"820166.91","560553.94",NA
1998-08-01,"822246.04","564420.41",NA
1998-09-01,"828674.04","568615.69",NA
1998-10-01,"833107.33","572289.34",NA
1998-11-01,"837234.90","571207.79",NA
1998-12-01,"839581.66","581414.78",NA
1999-01-01,"846059.93","585177.01",NA
1999-02-01,"855860.56","585454.04",NA
1999-03-01,"865721.60","585157.22",NA
1999-04-01,"871936.15","585734.42",NA
